cveID,vendorProject,product,vulnerabilityName,dateAdded,dueDate,knownRansomwareCampaignUse,healthcare_relevance_score,internet_facing_score,ransomware_score,technical_impact_score,remediation_urgency_score,operational_impact_score,total_priority_score,priority_level
CVE-2026-21519,Microsoft,Windows,Microsoft Windows Type Confusion Vulnerability,2026-02-10,2026-03-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-21514,Microsoft,Office,Microsoft Office Word Reliance on Untrusted Inputs in a Security Decision Vulnerability,2026-02-10,2026-03-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-24423,SmarterTools,SmarterMail,SmarterTools SmarterMail Missing Authentication for Critical Function Vulnerability,2026-02-05,2026-02-26,Known,0,0,3,0,2,0,5,Moderate
CVE-2019-19006,Sangoma,FreePBX,Sangoma FreePBX Improper Authentication Vulnerability,2026-02-03,2026-02-24,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2025-40551,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Deserialization of Untrusted Data Vulnerability,2026-02-03,2026-02-06,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2018-14634,Linux,Kernel,Linux Kernel Integer Overflow Vulnerability,2026-01-26,2026-02-16,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-24061,GNU,InetUtils,GNU InetUtils Argument Injection Vulnerability,2026-01-26,2026-02-16,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2026-21509,Microsoft,Office,Microsoft Office Security Feature Bypass Vulnerability,2026-01-26,2026-02-16,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2025-34026,Versa,Concerto,Versa Concerto Improper Authentication Vulnerability,2026-01-22,2026-02-12,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2025-54313,Prettier,eslint-config-prettier,Prettier eslint-config-prettier Embedded Malicious Code Vulnerability,2026-01-22,2026-02-12,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-20045,Cisco,Unified Communications Manager,Cisco Unified Communications Products Code Injection Vulnerability,2026-01-21,2026-02-11,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-20805,Microsoft,Windows,Microsoft Windows Information Disclosure Vulnerability,2026-01-13,2026-02-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2025-8110,Gogs,Gogs,Gogs Path Traversal Vulnerability,2026-01-12,2026-02-02,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2009-0556,Microsoft,Office,Microsoft Office PowerPoint Code Injection Vulnerability,2026-01-07,2026-01-28,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2025-37164,Hewlett Packard Enterprise (HPE),OneView,Hewlett Packard Enterprise (HPE) OneView Code Injection Vulnerability,2026-01-07,2026-01-28,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2025-48700,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-site Scripting Vulnerability,2026-04-20,2026-04-23,Unknown,0,2,0,0,2,0,4,Low
CVE-2025-66376,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting Vulnerability,2026-03-18,2026-04-01,Unknown,0,2,0,0,2,0,4,Low
CVE-2020-7796,Synacor,Zimbra Collaboration Suite,Synacor Zimbra Collaboration Suite (ZCS) Server-Side Request Forgery Vulnerability,2026-02-17,2026-03-10,Unknown,0,2,0,0,2,0,4,Low
CVE-2025-68645,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) PHP Remote File Inclusion Vulnerability,2026-01-22,2026-02-12,Unknown,0,2,0,0,2,0,4,Low
CVE-2025-67038,Lantronix,EDS5000,Lantronix EDS5000 Code Injection Vulnerability,2026-06-23,2026-06-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-34909,Ubiquiti,UniFi OS,Ubiquiti UniFi OS Path Traversal Vulnerability,2026-06-23,2026-06-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-34908,Ubiquiti,UniFi OS,Ubiquiti UniFi OS Improper Access Control Vulnerability,2026-06-23,2026-06-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-20253,Splunk,Enterprise,Splunk Enterprise Missing Authentication for Critical Function Vulnerability,2026-06-18,2026-06-21,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-48907,Widget Factory,Joomla Content Editor,Widget Factory Joomla Content Editor Improper Access Control Vulnerability,2026-06-16,2026-06-19,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-7473,Arista,Extensible Operating System,Arista Extensible Operating System Incomplete Comparison with Missing Factors Vulnerability,2026-06-09,2026-06-23,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-28318,SolarWinds,Serv-U,SolarWinds Serv-U Uncontrolled Resource Consumption Vulnerability,2026-06-05,2026-06-19,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-8398,Daemon,Daemon Tools Lite,Daemon Tools Lite Embedded Malicious Code Vulnerability,2026-05-27,2026-05-30,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-34291,Langflow,Langflow,Langflow Origin Validation Error Vulnerability,2026-05-21,2026-06-04,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-34926,Trend Micro,Apex One,Trend Micro Apex One (On-Premise) Directory Traversal Vulnerability,2026-05-21,2026-06-04,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-42208,BerriAI,LiteLLM,BerriAI LiteLLM SQL Injection Vulnerability,2026-05-08,2026-05-11,Unknown,0,0,0,0,2,0,2,Low
CVE-2024-7399,Samsung,MagicINFO 9 Server,Samsung MagicINFO 9 Server Path Traversal Vulnerability,2026-04-24,2026-05-08,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-2749,Kentico,Kentico Xperience,Kentico Xperience Path Traversal Vulnerability,2026-04-20,2026-05-04,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-33634,Aquasecurity,Trivy,Aquasecurity Trivy Embedded Malicious Code Vulnerability,2026-03-26,2026-04-09,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-33017,Langflow,Langflow,Langflow Code Injection Vulnerability,2026-03-25,2026-04-08,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-32432,Craft CMS,Craft CMS,Craft CMS Code Injection Vulnerability,2026-03-20,2026-04-03,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-54068,Laravel,Livewire,Laravel Livewire Code Injection Vulnerability,2026-03-20,2026-04-03,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-43510,Apple,Multiple Products,Apple Multiple Products Improper Locking Vulnerability,2026-03-20,2026-04-03,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-43520,Apple,Multiple Products,Apple Multiple Products Classic Buffer Overflow Vulnerability,2026-03-20,2026-04-03,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-31277,Apple,Multiple Products,Apple Multiple Products Buffer Overflow Vulnerability,2026-03-20,2026-04-03,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-47813,Wing FTP Server,Wing FTP Server,Wing FTP Server Information Disclosure Vulnerability,2026-03-16,2026-03-30,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-3909,Google,Skia,Google Skia Out-of-Bounds Write Vulnerability,2026-03-13,2026-03-27,Unknown,0,0,0,0,2,0,2,Low
CVE-2021-22681,Rockwell,Multiple Products,Rockwell Multiple Products Insufficient Protected Credentials Vulnerability,2026-03-05,2026-03-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2023-43000,Apple,Multiple Products,Apple Multiple products Use-After-Free Vulnerability,2026-03-05,2026-03-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2023-41974,Apple,iOS and iPadOS,Apple iOS and iPadOS Use-After-Free Vulnerability,2026-03-05,2026-03-26,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-21385,Qualcomm,Multiple Chipsets,Qualcomm Multiple Chipsets Memory Corruption Vulnerability,2026-03-03,2026-03-24,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-68461,Roundcube,Webmail,RoundCube Webmail Cross-site Scripting Vulnerability,2026-02-20,2026-03-13,Unknown,0,0,0,0,2,0,2,Low
CVE-2021-22175,GitLab,GitLab,GitLab Server-Side Request Forgery (SSRF) Vulnerability,2026-02-18,2026-03-11,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-22769,Dell,RecoverPoint for Virtual Machines (RP4VMs),Dell RecoverPoint for Virtual Machines (RP4VMs) Use of Hard-coded Credentials Vulnerability,2026-02-18,2026-02-21,Unknown,0,0,0,0,2,0,2,Low
CVE-2024-7694,TeamT5,ThreatSonar Anti-Ransomware,TeamT5 ThreatSonar Anti-Ransomware Unrestricted Upload of File with Dangerous Type Vulnerability,2026-02-17,2026-03-10,Unknown,0,0,0,0,2,0,2,Low
CVE-2026-20700,Apple,Multiple Products,Apple Multiple Buffer Overflow Vulnerability,2026-02-12,2026-03-05,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-40536,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Security Control Bypass Vulnerability,2026-02-12,2026-02-15,Unknown,0,0,0,0,2,0,2,Low
CVE-2021-39935,GitLab,Community and Enterprise Editions,GitLab Community and Enterprise Editions Server-Side Request Forgery (SSRF) Vulnerability,2026-02-03,2026-02-24,Unknown,0,0,0,0,2,0,2,Low
CVE-2025-31125,Vite,Vitejs,Vite Vitejs Improper Access Control Vulnerability,2026-01-22,2026-02-12,Unknown,0,0,0,0,2,0,2,Low
